Removed 212 ambiguous traces!
Model saved to output-dfa/model_42.dot.
Task: parse-inputs Elapsed: 8.563s
Task: solving-shot-0 Elapsed: 0.033s
Task: solving-shot-1 Elapsed: 0.093s
Task: solving-shot-2 Elapsed: 0.141s
Task: solving-shot-3 Elapsed: 0.215s
Task: solving-shot-4 Elapsed: 0.259s
Task: solving-shot-5 Elapsed: 0.255s
Task: solving-shot-6 Elapsed: 0.302s
Task: solving-shot-7 Elapsed: 0.311s
Task: solving-shot-8 Elapsed: 0.428s
Task: solving-shot-9 Elapsed: 0.550s
Task: solving-shot-10 Elapsed: 0.563s
Task: solving-shot-11 Elapsed: 0.718s
Task: solving-shot-12 Elapsed: 0.730s
Task: solving-shot-13 Elapsed: 0.779s
Task: solving-shot-14 Elapsed: 0.964s
Task: solving-shot-15 Elapsed: 1.094s
Task: solving-shot-16 Elapsed: 0.999s
Task: solving-shot-17 Elapsed: 1.078s
Task: solving-shot-18 Elapsed: 1.128s
Task: solving-shot-19 Elapsed: 1.260s
Task: solving-shot-20 Elapsed: 1.258s
Task: solving-shot-21 Elapsed: 1.547s
Task: solving-shot-22 Elapsed: 1.754s
Task: solving-shot-23 Elapsed: 1.687s
Task: solving-shot-24 Elapsed: 2.281s
Task: solving-shot-25 Elapsed: 1.927s
Task: solving-shot-26 Elapsed: 2.343s
Task: solving-shot-27 Elapsed: 2.523s
Task: solving-shot-28 Elapsed: 2.108s
Task: solving-shot-29 Elapsed: 2.685s
Task: solving-shot-30 Elapsed: 2.770s
Task: solving-shot-31 Elapsed: 2.985s
Task: solving-shot-32 Elapsed: 3.105s
Task: solving-shot-33 Elapsed: 3.290s
Task: solving-shot-34 Elapsed: 3.525s
Task: solving-shot-35 Elapsed: 3.477s
Task: solving-shot-36 Elapsed: 3.732s
Task: solving-shot-37 Elapsed: 4.243s
Task: solving-shot-38 Elapsed: 3.929s
Task: solving-shot-39 Elapsed: 4.282s
Task: solving-shot-40 Elapsed: 4.533s
Task: solving-shot-41 Elapsed: 4.533s
